Review ID,Region,Country/Market,Platform,Source Website,Source URL,Date Accessed,Review Date,Rating,Language,Original Review Text,Translation/Summary,Service Category,AI/Digital Touchpoint,Trust Theme,Trust Valence,Short Evidence Quote,Research Notes
R011,Asia,China,58到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1574147199/sortby=mostrecent/json,2026-06-16,2026-05-30,1,Chinese,保洁两小时算四个小时的钱. 平台无人处理  来电响铃一声就挂掉了,App Store review (1/5) concerning Customer support and Accountability.,Domestic/home service platform,Customer support,Accountability,Negative,保洁两小时算四个小时的钱. 平台无人处理 来电响铃一声就挂掉了,Automatically collected from public App Store RSS; verify before using direct quotations.
R012,Asia,China,天鹅到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=897342825/sortby=mostrecent/json,2026-06-16,2026-02-03,1,Chinese,垃圾保洁公司，千万别下载. 保洁服务质量很差，擦的一点都不干净。投诉客服没人回复，就是一垃圾公司。,App Store review (1/5) concerning Customer support and Service Recovery.,Domestic/home service platform,Customer support,Service Recovery,Negative,垃圾保洁公司，千万别下载. 保洁服务质量很差，擦的一点都不干净。投诉客服没人回复，就是一垃圾公司。,Automatically collected from public App Store RSS; verify before using direct quotations.
R013,Asia,China,轻喜到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1550723001/sortby=mostrecent/json,2026-06-16,2026-05-25,5,Chinese,推荐. 轻喜是朋友推荐的，用了三年了，觉得挺不错的。从客服服务到保洁都非常满意！推荐！,App Store review (5/5) concerning Customer support and Responsiveness.,Domestic/home service platform,Customer support,Responsiveness,Positive,推荐. 轻喜是朋友推荐的，用了三年了，觉得挺不错的。从客服服务到保洁都非常满意！推荐！,Automatically collected from public App Store RSS; verify before using direct quotations.
R014,Asia,China,阿姨帮,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=683700520/sortby=mostrecent/json,2026-06-16,2025-08-26,1,Chinese,千万不要下载. 服务极其恶劣的一家公司，在他家平台上充值了880，还没用完就发现经常约不到两周以内的阿姨，约两周以后的还要另外交钱！所以我要求退余额和开发票，没想到客服极其恶心，先是说除了今年的开不了，我告诉他税法不是这样规定的，各种狡辩，直到打了12366投诉才说可以开，然后又说我个人缴费的不能开公司抬头，我告诉她税法不是这样规定的，又开始各种狡辩，直到打了12366又说可以；然后又说得等全部余额消费完了才能开，我说税法不是这样规定的，又开始很恶心的各种胡扯八扯，再次打了12366又可以开了，然后又说不能全额退款，要扣手续费，又TM开始各种狡辩，有病一样的客服和公司！现在还在投诉中，千万不要下载！,App Store review (1/5) concerning Payment/refund/cancellation; Customer support; Matching/dispatch and Service Recovery.,Domestic/home service platform,Payment/refund/cancellation; Customer support; Matching/dispatch,Service Recovery,Negative,千万不要下载. 服务极其恶劣的一家公司，在他家平台上充值了880，还没用完就发现经常约不到两周以内的阿姨，约两周以后的还要另外交钱！所以我要求退余额和开发票，没,Automatically collected from public App Store RSS; verify before using direct quotations.
R015,Asia,China,美团,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=423084029/sortby=mostrecent/json,2026-06-16,2026-06-14,1,Chinese,哈哈哈哈. 好厉害的软件，打开之后给我跳转了软色情小说，仔细一看莫名其妙多出来一个小说推荐窗口，你还知道自己是什么软件吗？小说软件跳购物软件，购物软件跳小说网页，你们是真牛批啊！！！！！一打开美团，好家伙！！！文字显示“后座男女在做爱”，你们是真牛👍性压抑吗？哦，反正你们也上了很多卖淫服务，经济增长科技发展全是为了瑟琴业是吧。,App Store review (1/5) concerning General platform/service experience and General trust.,Domestic/home service platform,General platform/service experience,General trust,Negative,哈哈哈哈. 好厉害的软件，打开之后给我跳转了软色情小说，仔细一看莫名其妙多出来一个小说推荐窗口，你还知道自己是什么软件吗？小说软件跳购物软件，购物软件跳小说网页,Automatically collected from public App Store RSS; verify before using direct quotations.
R016,Asia,China,58到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1574147199/sortby=mostrecent/json,2026-06-16,2026-05-30,1,Chinese,阿姨没有按时到，联系不上直营店！全是AI在要评价不解决问题！！！. 太差！,App Store review (1/5) concerning Customer support; Matching/dispatch; Review/rating/transparency and Service Recovery.,Domestic/home service platform,Customer support; Matching/dispatch; Review/rating/transparency,Service Recovery,Negative,阿姨没有按时到，联系不上直营店！全是AI在要评价不解决问题！！！. 太差！,Automatically collected from public App Store RSS; verify before using direct quotations.
R017,Asia,China,天鹅到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=897342825/sortby=mostrecent/json,2026-06-16,2026-01-26,1,Chinese,客户利益没有任何保障. 真是垃圾平台，合同都说霸王条款，客户利益没有任何保障，阿姨说下户就下户，不提前通知，中介反应也很慢，总之这个平台保障不了客户的任何利益，出了问题都由客户承担。,App Store review (1/5) concerning Matching/dispatch; Review/rating/transparency; Communication/automation and Transparency.,Domestic/home service platform,Matching/dispatch; Review/rating/transparency; Communication/automation,Transparency,Negative,客户利益没有任何保障. 真是垃圾平台，合同都说霸王条款，客户利益没有任何保障，阿姨说下户就下户，不提前通知，中介反应也很慢，总之这个平台保障不了客户的任何利益，,Automatically collected from public App Store RSS; verify before using direct quotations.
R018,Asia,China,轻喜到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1550723001/sortby=mostrecent/json,2026-06-16,2026-05-24,5,Chinese,轻喜保洁. 保洁阿姨都非常专业，每次上门提前联系，干活认真仔细，保洁到位，值得信赖！👍,App Store review (5/5) concerning Customer support; Matching/dispatch and Responsiveness.,Domestic/home service platform,Customer support; Matching/dispatch,Responsiveness,Positive,轻喜保洁. 保洁阿姨都非常专业，每次上门提前联系，干活认真仔细，保洁到位，值得信赖！👍,Automatically collected from public App Store RSS; verify before using direct quotations.
R019,Asia,China,阿姨帮,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=683700520/sortby=mostrecent/json,2026-06-16,2024-05-08,1,Chinese,太坑了. 订了全拆卸清洗油烟机，师傅清洗后把油污水全倒在厨房下水道。厨房下水一周内就堵了。找客服，客服回答：“ 嗯，您好，咱们清洗油烟机清洗过后的油烟机，烟机清洗后的水基本没有什么杂质，因为大部分都是油用火碱去浸泡清洗，并且火碱是有通下水道作用的。应该不是师父倾倒废水所导致。”,App Store review (1/5) concerning Customer support; Matching/dispatch and Responsiveness.,Domestic/home service platform,Customer support; Matching/dispatch,Responsiveness,Negative,太坑了. 订了全拆卸清洗油烟机，师傅清洗后把油污水全倒在厨房下水道。厨房下水一周内就堵了。找客服，客服回答：“ 嗯，您好，咱们清洗油烟机清洗过后的油烟机，烟机清,Automatically collected from public App Store RSS; verify before using direct quotations.
R020,Asia,China,美团,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=423084029/sortby=mostrecent/json,2026-06-16,2026-06-14,1,Chinese,恶心死了四点点的外卖两个多小时没到取消订单了再点从七点到十点还没到. 七点多点的外卖你们八点多九点才有骑手接单就算了我看进度他明明离我更近我不知道他怎么会跑到镜台山那里去还一直卡在那里 一个小时定位都在那里我不知道是你们平台卡了还是怎么样我从四点等到十点我还没吃上饭 问客服客服一直让我问骑手进度有骑手接单吗你就让我问骑手 我说我要退款你一直答非所问的干什么？客服跟没有一样一点用都没有,App Store review (1/5) concerning Payment/refund/cancellation; Customer support; Booking/scheduling and Service Recovery.,Domestic/home service platform,Payment/refund/cancellation; Customer support; Booking/scheduling,Service Recovery,Negative,恶心死了四点点的外卖两个多小时没到取消订单了再点从七点到十点还没到. 七点多点的外卖你们八点多九点才有骑手接单就算了我看进度他明明离我更近我不知道他怎么会跑到镜,Automatically collected from public App Store RSS; verify before using direct quotations.
R021,Asia,China,58到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1574147199/sortby=mostrecent/json,2026-06-16,2026-04-14,1,Chinese,骗钱公司. 找家政找育儿嫂的都不要在这上面找，皮包公司，都是一群没有技能的诱导着你签合同，签完合同然后阿姨各种问题，找她退款他就扣除所谓的首次匹配费2000多，恶心，孩子都差点照顾进医院,App Store review (1/5) concerning Payment/refund/cancellation; Matching/dispatch; Review/rating/transparency and Transparency.,Domestic/home service platform,Payment/refund/cancellation; Matching/dispatch; Review/rating/transparency,Transparency,Negative,骗钱公司. 找家政找育儿嫂的都不要在这上面找，皮包公司，都是一群没有技能的诱导着你签合同，签完合同然后阿姨各种问题，找她退款他就扣除所谓的首次匹配费2000多，,Automatically collected from public App Store RSS; verify before using direct quotations.
R022,Asia,China,天鹅到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=897342825/sortby=mostrecent/json,2026-06-16,2025-11-19,3,Chinese,一般. 前面还好，阿姨水平待提高，退款拖延,App Store review (3/5) concerning Payment/refund/cancellation; Matching/dispatch and Service Recovery.,Domestic/home service platform,Payment/refund/cancellation; Matching/dispatch,Service Recovery,Mixed,一般. 前面还好，阿姨水平待提高，退款拖延,Automatically collected from public App Store RSS; verify before using direct quotations.
R023,Asia,China,轻喜到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1550723001/sortby=mostrecent/json,2026-06-16,2026-05-23,5,Chinese,专业服务. 专业服务，洁净如新，合作很多年了，一直都觉得还不错,App Store review (5/5) concerning General platform/service experience and Reliability.,Domestic/home service platform,General platform/service experience,Reliability,Positive,专业服务. 专业服务，洁净如新，合作很多年了，一直都觉得还不错,Automatically collected from public App Store RSS; verify before using direct quotations.
R024,Asia,China,阿姨帮,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=683700520/sortby=mostrecent/json,2026-06-16,2023-12-09,1,Chinese,升级完竟然强制消费199成为黄金会员才能选阿姨. 吃相也太难看了！,App Store review (1/5) concerning Matching/dispatch and General trust.,Domestic/home service platform,Matching/dispatch,General trust,Negative,升级完竟然强制消费199成为黄金会员才能选阿姨. 吃相也太难看了！,Automatically collected from public App Store RSS; verify before using direct quotations.
R025,Asia,China,美团,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=423084029/sortby=mostrecent/json,2026-06-16,2026-06-14,2,Chinese,充电宝押金退还. 还需要向客服反映才能退押金,App Store review (2/5) concerning Customer support and Responsiveness.,Domestic/home service platform,Customer support,Responsiveness,Negative,充电宝押金退还. 还需要向客服反映才能退押金,Automatically collected from public App Store RSS; verify before using direct quotations.
R026,Asia,China,58到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1574147199/sortby=mostrecent/json,2026-06-16,2026-04-07,1,Chinese,恶心. 保证金不退 师傅们千万不要在上面接单,App Store review (1/5) concerning Matching/dispatch and General trust.,Domestic/home service platform,Matching/dispatch,General trust,Negative,恶心. 保证金不退 师傅们千万不要在上面接单,Automatically collected from public App Store RSS; verify before using direct quotations.
R027,Asia,China,天鹅到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=897342825/sortby=mostrecent/json,2026-06-16,2025-10-11,1,Chinese,保洁不靠谱. 保洁太不靠谱了，下了单压根就没来还说来了说敲门了，我压根都没有听到有声音，谎话连篇避雷,App Store review (1/5) concerning General platform/service experience and Reliability.,Domestic/home service platform,General platform/service experience,Reliability,Negative,保洁不靠谱. 保洁太不靠谱了，下了单压根就没来还说来了说敲门了，我压根都没有听到有声音，谎话连篇避雷,Automatically collected from public App Store RSS; verify before using direct quotations.
R028,Asia,China,轻喜到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1550723001/sortby=mostrecent/json,2026-06-16,2026-05-19,5,Chinese,平台. 轻喜平台服务涵盖的种类繁多，实用，规范，推荐,App Store review (5/5) concerning General platform/service experience and Accountability.,Domestic/home service platform,General platform/service experience,Accountability,Positive,平台. 轻喜平台服务涵盖的种类繁多，实用，规范，推荐,Automatically collected from public App Store RSS; verify before using direct quotations.
R029,Asia,China,阿姨帮,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=683700520/sortby=mostrecent/json,2026-06-16,2023-11-25,5,Chinese,提供安全服务！. 方便，可靠！,App Store review (5/5) concerning General platform/service experience and Safety-Privacy.,Domestic/home service platform,General platform/service experience,Safety-Privacy,Positive,提供安全服务！. 方便，可靠！,Automatically collected from public App Store RSS; verify before using direct quotations.
R030,Asia,China,美团,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=423084029/sortby=mostrecent/json,2026-06-16,2026-06-14,1,Chinese,买啥都比别的贵。。。. 买啥都比别的地方贵、真的被坑了一次又一次，而且同样的店同样的东西我跟我朋友可以有四五个价格，真的是千人千面（已经排除红包相关），专杀熟,App Store review (1/5) concerning Payment/refund/cancellation and Transparency.,Domestic/home service platform,Payment/refund/cancellation,Transparency,Negative,买啥都比别的贵。。。. 买啥都比别的地方贵、真的被坑了一次又一次，而且同样的店同样的东西我跟我朋友可以有四五个价格，真的是千人千面（已经排除红包相关），专杀熟,Automatically collected from public App Store RSS; verify before using direct quotations.
R031,Asia,China,58到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1574147199/sortby=mostrecent/json,2026-06-16,2026-03-26,1,Chinese,退款端口客服端口全是摆设. 退款问题没法反馈 经理爱答不理c客服全是机器,App Store review (1/5) concerning Payment/refund/cancellation; Customer support and Service Recovery.,Domestic/home service platform,Payment/refund/cancellation; Customer support,Service Recovery,Negative,退款端口客服端口全是摆设. 退款问题没法反馈 经理爱答不理c客服全是机器,Automatically collected from public App Store RSS; verify before using direct quotations.
R032,Asia,China,天鹅到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=897342825/sortby=mostrecent/json,2026-06-16,2025-08-20,1,Chinese,软件垃圾. 保洁服务 选了时间确认不了 一直还让你提示请选择时间 这不是软件问题吗,App Store review (1/5) concerning Booking/scheduling and General trust.,Domestic/home service platform,Booking/scheduling,General trust,Negative,软件垃圾. 保洁服务 选了时间确认不了 一直还让你提示请选择时间 这不是软件问题吗,Automatically collected from public App Store RSS; verify before using direct quotations.
R033,Asia,China,轻喜到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1550723001/sortby=mostrecent/json,2026-06-16,2026-05-18,1,Chinese,退款退几天都退不了，投诉还得上传照片，上传照片转半天上传不了，真牛. 一颗星都不想给,App Store review (1/5) concerning Payment/refund/cancellation; Customer support and Service Recovery.,Domestic/home service platform,Payment/refund/cancellation; Customer support,Service Recovery,Negative,退款退几天都退不了，投诉还得上传照片，上传照片转半天上传不了，真牛. 一颗星都不想给,Automatically collected from public App Store RSS; verify before using direct quotations.
R034,Asia,China,阿姨帮,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=683700520/sortby=mostrecent/json,2026-06-16,2023-11-01,5,Chinese,好评. 对客户很负责！有优质的阿姨。,App Store review (5/5) concerning Matching/dispatch and Accountability.,Domestic/home service platform,Matching/dispatch,Accountability,Positive,好评. 对客户很负责！有优质的阿姨。,Automatically collected from public App Store RSS; verify before using direct quotations.
R035,Asia,China,美团,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=423084029/sortby=mostrecent/json,2026-06-16,2026-06-14,1,Chinese,变更活动也不提前通知. 美团搞了个周末抢外卖半价券的活动，辛辛苦苦蹲点抢到了，发现这次突然就不能用了，显示无商家可用。一问客服，说北京地区已经不参与活动了。既然不参与活动，你还在社群助手正常推送活动链接，也没在活动规则里写清楚！接线的客服之间也互相甩锅转来转去，一个问题转了五个人，最后来一句“建议您更换地区下单呢”。闹呢，人在北京，让用户更换到其他省市下单？这就是你们的解决方案？,App Store review (1/5) concerning Customer support; Booking/scheduling; Communication/automation and Service Recovery.,Domestic/home service platform,Customer support; Booking/scheduling; Communication/automation,Service Recovery,Negative,变更活动也不提前通知. 美团搞了个周末抢外卖半价券的活动，辛辛苦苦蹲点抢到了，发现这次突然就不能用了，显示无商家可用。一问客服，说北京地区已经不参与活动了。既然,Automatically collected from public App Store RSS; verify before using direct quotations.
R036,Asia,China,58到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1574147199/sortby=mostrecent/json,2026-06-16,2026-03-01,1,Chinese,卸载直接用如家. 垃圾门店垃圾客服大部分都是机器人,App Store review (1/5) concerning Customer support; Communication/automation and Responsiveness.,Domestic/home service platform,Customer support; Communication/automation,Responsiveness,Negative,卸载直接用如家. 垃圾门店垃圾客服大部分都是机器人,Automatically collected from public App Store RSS; verify before using direct quotations.
R037,Asia,China,天鹅到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=897342825/sortby=mostrecent/json,2026-06-16,2025-08-19,1,Chinese,巨大的坑. 交钱三天之后，基本就不会再给你匹配阿姨了，还不如小中介，避坑。,App Store review (1/5) concerning Matching/dispatch and General trust.,Domestic/home service platform,Matching/dispatch,General trust,Negative,巨大的坑. 交钱三天之后，基本就不会再给你匹配阿姨了，还不如小中介，避坑。,Automatically collected from public App Store RSS; verify before using direct quotations.
R038,Asia,China,轻喜到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1550723001/sortby=mostrecent/json,2026-06-16,2026-04-20,5,Chinese,保洁. 保洁原来在别的平台做过，最后订了轻喜到家的年卡，整体感觉很专业，做的挺好的。,App Store review (5/5) concerning General platform/service experience and Reliability.,Domestic/home service platform,General platform/service experience,Reliability,Positive,保洁. 保洁原来在别的平台做过，最后订了轻喜到家的年卡，整体感觉很专业，做的挺好的。,Automatically collected from public App Store RSS; verify before using direct quotations.
R039,Asia,China,阿姨帮,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=683700520/sortby=mostrecent/json,2026-06-16,2023-07-11,4,Chinese,客服电话不好打. 客服电话不好打，保洁人员联系电话总显示：骚扰电话,App Store review (4/5) concerning Customer support and Responsiveness.,Domestic/home service platform,Customer support,Responsiveness,Positive,客服电话不好打. 客服电话不好打，保洁人员联系电话总显示：骚扰电话,Automatically collected from public App Store RSS; verify before using direct quotations.
R040,Asia,China,美团,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=423084029/sortby=mostrecent/json,2026-06-16,2026-06-14,1,Chinese,人工客服人间蒸发. 找到人工客服也没用 打通了也不管不了啥 再也不想用你这个垃圾软件了,App Store review (1/5) concerning Customer support and Responsiveness.,Domestic/home service platform,Customer support,Responsiveness,Negative,人工客服人间蒸发. 找到人工客服也没用 打通了也不管不了啥 再也不想用你这个垃圾软件了,Automatically collected from public App Store RSS; verify before using direct quotations.
R041,Asia,China,58到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1574147199/sortby=mostrecent/json,2026-06-16,2026-03-01,1,Chinese,垃圾售后服务. 能不用就不用吧,App Store review (1/5) concerning General platform/service experience and General trust.,Domestic/home service platform,General platform/service experience,General trust,Negative,垃圾售后服务. 能不用就不用吧,Automatically collected from public App Store RSS; verify before using direct quotations.
R042,Asia,China,天鹅到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=897342825/sortby=mostrecent/json,2026-06-16,2025-05-13,1,Chinese,莫名其妙就结束订单了. 想要做衣柜整理，提交订单后发现无法退款。可是我并未预约，商家也没有来提供服务，莫名其妙订单就结束并扣费了。很难用，千万不要用这个APP！！,App Store review (1/5) concerning Payment/refund/cancellation; Booking/scheduling and Service Recovery.,Domestic/home service platform,Payment/refund/cancellation; Booking/scheduling,Service Recovery,Negative,莫名其妙就结束订单了. 想要做衣柜整理，提交订单后发现无法退款。可是我并未预约，商家也没有来提供服务，莫名其妙订单就结束并扣费了。很难用，千万不要用这个APP！,Automatically collected from public App Store RSS; verify before using direct quotations.
R043,Asia,China,轻喜到家,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=1550723001/sortby=mostrecent/json,2026-06-16,2026-04-16,5,Chinese,家庭保洁. 我是老客户了，在轻喜到家已经续费几年了，阿姨都很不错，工作认真负责，还懂收纳，客服姐姐服务非常好，回应迅速。,App Store review (5/5) concerning Customer support; Matching/dispatch and Responsiveness.,Domestic/home service platform,Customer support; Matching/dispatch,Responsiveness,Positive,家庭保洁. 我是老客户了，在轻喜到家已经续费几年了，阿姨都很不错，工作认真负责，还懂收纳，客服姐姐服务非常好，回应迅速。,Automatically collected from public App Store RSS; verify before using direct quotations.
R044,Asia,China,阿姨帮,Apple App Store (cn),https://itunes.apple.com/cn/rss/customerreviews/page=1/id=683700520/sortby=mostrecent/json,2026-06-16,2023-04-19,1,Chinese,"多次违约取消订单 不承担违约责任 漠视消费者权益. 如题 
另一面 涨价不说 还挖空心思另行收费 黄金会员收钱 必须要高额储值",App Store review (1/5) concerning Payment/refund/cancellation; Booking/scheduling and Transparency.,Domestic/home service platform,Payment/refund/cancellation; Booking/scheduling,Transparency,Negative,多次违约取消订单 不承担违约责任 漠视消费者权益. 如题 另一面 涨价不说 还挖空心思另行收费 黄金会员收钱 必须要高额储值,Automatically collected from public App Store RSS; verify before using direct quotations.
